,Unnamed: 0,actual,predicted,text,label
1964,1964,2,3,"Israeli Troops Enter West Bank Hospital Israeli troops hunting militants raided a West Bank hospital Monday, searching rooms and calling on fugitives over loudspeakers to surrender, and in Gaza soliders ",0
1997,1997,3,2,"Prosecutors summon Yukos lawyer in latest move against the oil giant (Canadian Press) Canadian Press - MOSCOW (AP) - Prosecutors tightened the screws on Yukos on Monday, calling in the oil giant's top in-house lawyer for questioning after searching his office and apartment on the same day the company challenged a freeze on its subsidiaries' bank accounts.",0
2008,2008,2,3,"Tennis: Moya thrilled at win Spain's Carlos Moya says Davis Cup victory over the USA is ""like a dream"".",0
2059,2059,2,3,"Schwarzenegger Lauds Bush on Terror Fight  - California Gov. Arnold Schwarzenegger drew on his childhood in Soviet-occupied Austria to endorse President Bush's war on terror. ""Terrorism is more insidious than communism,"" the bodybuilder-turned-politician said Tuesday in a speech to the Republican convention.",0
2060,2060,3,2,"EU Leaders Poised to Offer Entry Talks to Turkey  - EU leaders were poised on Thursday to\set a date to start accession talks with Turkey, as Turkish\Prime Minister Tayyip Erdogan arrived in Brussels in an\optimistic mood for a spate of last-minute diplomacy.",0
2065,2065,0,1,Anti-terror laws 'may go further' David Blunkett  says measures to beat terrorism could include special anti-terror courts using phone-taping evidence.,0
2077,2077,3,2,"Nepal awaits Maoist response to call for talks: World News Kathmandu, Sep 23 : Nepal remained torn between hope and doubt, awaiting a response from the Maoist insurgents as the government said it would send a formal proposal to them to hold peace talks.",0
2084,2084,2,3,"Russian Scientist Jailed for Spying for China  - A Russian scientist convicted of spying\for China was sentenced to 14 years in a high security jail\Wednesday, Russian news agencies reported.",0
2085,2085,3,2,"No miscarriage of justice in Colombia: Harney The Tnaiste, Mary Harney, has said she has no reason to believe that a miscarriage of justice was involved in the case of the three Irishmen in Colombia given lengthy jail sentences for training left wing guerrillas.",0
2087,2087,3,2,China's new wealth clashes with party-boss influence Quiet efforts are afoot in the southern city of Shenzhen to thwart corruption by professionalizing the civil service.,0
2094,2094,0,2,"Two GOP leaders attack Iraq policy WASHINGTON -- Two leading Republican legislators yesterday attacked the Bush administration's approach to rebuilding Iraq, in one of the strongest indictments of the administration's Iraq policy from members of President Bush's party.",0
2095,2095,0,2,"Oracle Ups Its Offer and Buys PeopleSoft for \$10.3 Billion The world's second-largest maker of business software was created in the deal, which ended a long and hostile battle.",0
2101,2101,2,3,"At Least 70 Killed in Iraq Attacks The worst attack was a car bomb explosion outside a police training center in Baghdad. At least 47 people, mostly new recruits, were killed and more than 100 wounded.",0
2111,2111,0,2,Ivory Coast snubs Francophone summit after spat Ivory Coast angrily pulled out of a summit of French-speaking countries on Friday after police in the host nation Burkina Faso confiscated ,0
2120,2120,3,0,"President's Party Leads Kazakhstan Voting  - President Nursultan Nazarbayev's party took an early lead in Parliament elections Sunday, and his daughter's new party was running second, lending credence to suspicions of plans for a family dynasty.",0
2128,2128,1,3,"Popular discontent stirs political awakening in Hong Kong It #39;s often been said that Hong Kong people are interested in money, not politics, but upcoming legislative elections may bury that notion for good as angry residents turn out to send their leaders a message.",0
2136,2136,2,0,Judge: No Iraq abuse photos ban A military judge at a pre-trial hearing in the Abu Ghraib prison abuse scandal has denied a motion to suppress as evidence the photographs that first brought attention to it.,0
2150,2150,2,3,"India, Pakistan hold talks on Kashmir bus link India and Pakistan held the first of two days of talks on Tuesday on starting a bus service between the capitals of divided Kashmir, a proposal which could give their peace process a major shot in the arm, officials said.",0
2182,2182,2,3,Terror Bombings Hit Egypt A total of 32 people were killed in Thursday night #39;s (Oct 7) terror attacks on two Sinai holiday resorts frequented by Israelis: 29 at the Taba Hilton and three at Ras a-Satan.,0
2209,2209,3,1,"4 U.S. Marines Killed in Iraq Incidents NAJAF, Iraq - Four U.S. Marines assigned to the 1st Marine Expeditionary Force have been killed in separate incidents in Iraq's volatile Anbar province, the military announced Sunday...",0
2217,2217,0,2,Blair to push for Mid East peace BRITISH Prime Minster Tony Blair called for new efforts to revive the Middle East peace process today after the death of Palestinian leader Yasser Arafat and just hours before he sets off to visit US President George W. Bush.,0
2231,2231,3,0,Dashed hopes in Hong Kong Pro-democracy parties in Hong Kong have expressed disappointment at the outcome of Sunday #39;s parliamentary elections. The pro-democracy camp secured 25 seats on the ,0
2244,2244,2,3,"Miers Picked As White House Counsel  - President Bush has decided to name Harriet Miers, a longtime Texas associate, as White House counsel, a senior administration official said Wednesday.",0
2255,2255,0,1,"Hard-Hit Havana Still Short of Water City workers distributed water in tank trucks Monday and urged about 1.4 million residents of the Cuban capital who had no running water to remain calm, four days after Hurricane Charley roared through the area.",0
2265,2265,2,3,"Egypt arrests five over Sinai bombings CAIRO (AFP) - Egypt announced it had arrested five of the nine men who bombed Red Sea resorts almost three weeks ago, saying the attackers used stolen cars packed with old war-time explosives and a washing-machine timer.",0
2266,2266,0,1,"WorldCom Investors Settle    A federal judge approved a \$2.575 billion settlement of a class-action lawsuit by WorldCom investors who claimed they were defrauded by Citigroup, the second-largest settlement ever in a securities fraud case. When the tentative pact was announced by Citigroup in May, it was for \$2.65 billion, but the agreement presented to the judge was reduced by \$75 million. Investors accused Citigroup of hiding WorldCom's financial risks when it helped sell \$10 billion of WorldCom debt in 2001.",0
2286,2286,3,0,Kerry accuses Vietnam critics of illegal ties to Bush campaign  - Democratic White House hopeful John Kerry's campaign has formally alleged that a group attacking his Vietnam war record had illegal ties to US President George W. Bush's re-election bid.,0
2291,2291,2,0,"Buses defy rebel blockade of Nepal #39;s capital KATMANDU, Nepal (AP) - A heavily guarded convoy of six buses snaked its way out of Nepal #39;s capital Thursday, the first vehicles to defy Maoist rebels who blockaded Katmandu this week with threats alone and without setting up a single roadblock. ",0
2305,2305,2,3,"Human Rights Reform Is Key to Turkey EU Membership The European Union will not open membership talks with Turkey unless the country passes a human-rights reform package, EU enlargement commissioner Guenter Verheugen said today, his strongest remarks on the issue so far.",0
2316,2316,0,2,"Blair pledges over Bigley captors Tony Blair says the government would respond ""immediately"" if Ken Bigley's captors make contact.",0
2357,2357,0,2,"Six more die in Thai violence BANGKOK: Six more people have been killed in Muslim-majority southern Thailand in the last 24 hours, police said yesterday, amid outrage over the death last week of 85 Muslims.",0
2359,2359,3,0,"U.S. Iraq Death Toll Hits 1,000, Two Italians Seized  BAGHDAD (Reuters) - The U.S. military death toll in Iraq  reached 1,000 on Tuesday nearly 18 months after the invasion to  topple Saddam Hussein, making its mark on the U.S. presidential  election campaign.",0
2363,2363,3,2,"Iraq war illegal, says Annan WASHINGTON: UN Secretary General Kofi Annan threw the diplomatic world into a tizzy on Wednesday by bluntly declaring that the US decision to invade Iraq in March 2003 was illegal.",0
2364,2364,3,0,Indian press lashes Putin for ruling out UN Security Council veto NEW DELHI (AFP) - President Vladimir Putin has been given a thumbs-down from India #39;s media after failing to back veto rights for any new permanent members of the United Nations Security Council.,0
2371,2371,3,0,Congress Sets Federal Deficit Estimate at \$442 Billion The estimate by Congress' nonpartisan budget experts immediately provided political fodder for both parties.,0
2380,2380,2,3,"Smith Political Dinner Gets Bush, Carey  - Because President Bush and Democratic presidential candidate Sen. John Kerry were deemed too divisive for the annual Alfred E. Smith political dinner, the crowd heard from former President Bush and former New York Gov. Hugh Carey instead.",0
2381,2381,3,2,"Bangladesh Floods Maroon at Least 65,000  - Floodwaters from upstream India have swamped some 80 villages in southwestern Bangladesh, marooning at least 65,000 people, officials said Sunday.",0
2399,2399,3,2,"Suu Kyi #39;s house arrest extended Burma #39;s opposition party says its leader, Aung San Suu Kyi, has had her house arrest extended for another 12 months until September next year.",0
2424,2424,0,2,"EU to Work toward Ending China Arms Ban At an EU-China Summit on Wednesday, the EU said now was not the time to lift its arms embargo on China. However, EU leaders held out the prospect of ending the ban perhaps next year, despite opposition from the US.",0
2425,2425,2,3,"Stocks Climb Higher As Oil Prices Fall NEW YORK - Stocks regained some momentum Thursday as oil prices declined in spite of Hurricane Ivan's damper on production in the Gulf of Mexico, and fresh economic data suggested inflation remains well under control.    Analysts are closely watching stocks for signs that the market will stabilize in the second half of the year, but volatile moves on news have made it difficult to build confidence among investors, particular given recent fluctuations in oil prices...",0
2435,2435,2,0,"Brown to press for  #39;Marshall Plan for Africa #39; Gordon Brown has declared that the creation of a  Marshall Plan for Africa  is at the heart of the government #39;s agenda for its presidency of the Group of Eight in 2005, seeking ",0
2442,2442,3,1,"Proposed Program Would Remodel Foreign Aid  - Secretary of State Colin Powell calls it the most promising development in foreign assistance in decades. That is quite a claim for a program that has yet to disburse its first dollar. But it is clear that President Bush's Millennium Challenge Account, first proposed 2 1/2 years ago, represents a fresh approach to helping countries overcome economic backwardness.",0
2479,2479,2,3,Egyptians lash out at Israel in protest  CAIRO -- Egyptians enraged at Israel's mistaken killing of three border policemen protested yesterday after Friday prayers at Cairo's main mosque under a banner that read:  The pigs' apology doesn't quench our rage. ,0
2480,2480,0,1,Nigerian Oil Delta Rebel in 11th Hour Peace Talks Nigerian rebel leader Mujahid Dokubo-Asari said he arrived in the capital Abuja on Wednesday for talks with President Olusegun Obasanjo after his group threatened a new offensive against troops in the oil-producing Niger delta and ,0
2483,2483,2,3,"Egypt pursues suspects over deadly Sinai bombings  - Egyptian investigators into car bombings at resorts on Egypt's Sinai peninsula which killed at least 30 people said that they had identified a number of suspects, as rescuers continued to sift through the rubble.",0
2504,2504,0,1,"Pakistan gets its man ... sort of Two days after Pakistani officials announced the death of Amjad Farooqi, the circumstances surrounding the killing of the person who is being billed as the country #39;s most wanted ",0
2513,2513,3,2,"Five Die as Suicide Bomber Attacks Pakistan Mosque  LAHORE, Pakistan (Reuters) - A suicide bomber killed four  people as he shot his way into a Shi'ite Muslim mosque and blew  himself up in the Pakistani city of Lahore Sunday, emergency  workers said.",0
2514,2514,0,2,Ecuador judges' lock-in protest Supreme Court judges in Ecuador lock themselves inside their offices in protest at a decision to sack them.,0
2515,2515,2,1,IAEA informs UN of missing Iraq explosives The head of the UN nuclear watchdog has officially informed the Security Council of some 380 tons of high explosives missing from a weapons dump in Iraq.,0
2530,2530,0,3,"Venezuelan plane crash kills 16 A military plane crashes in a mountainous area of Venezuela, killing 16 people.",0
2539,2539,2,1,"Background to the Sudan conflict Sudan is the largest country in Africa and has a population of almost 28 million. About 60 per cent are Muslim, a quarter are animist and 15 per cent Christian.",0
2542,2542,3,2,"40 Sunnis Killed In Twin Pak Bomb Blast Islamabad, Oct. 7 (NNN): At least 40 people were killed and over 100 injured when twin bomb blasts went off in a Sunni Muslim gathering in Pakistans Multan city on early Thursday morning.",0
2543,2543,2,3,Baghdad Suicide Bomb Attack Kills at Least 7 Iraqi authorities say a suicide car-bomb blast in central Baghdad killed at least seven Iraqis and wounded 19 other people Monday - the anniversary of Saddam Hussein #39;s capture by US forces.,0
2546,2546,2,3,"US asks Laos to probe alleged massacre of Hmong children  - The United States said it was taking  very seriously  reports that the Laotian military massacred ethnic Hmong children, urging Vientiane to launch a probe on the issue.",0
2570,2570,0,1,Cabinet OKs Payment to Jewish Settlers Senior Israeli Cabinet ministers Tuesday approved the payment of cash advances to Jewish settlers who will be removed from their homes under Prime Minister Ariel Sharon's plan to leave the Gaza Strip - the government's first concrete step toward withdrawal.,0
2613,2613,2,0,Bruce hails Heskey after derby win  - Steve Bruce paid tribute to the influence of England striker Emile Heskey after Birmingham moved away from the Premiership relegation zone with a 2-1 win away to arch-rivals Aston Villa.,0
2616,2616,0,1,Palestinians to Elect Arafat #39;s Successor on Jan. 9 Palestinians set Jan. 9 as the date for presidential elections to replace Yasser Arafat on Sunday as the United States hinted it may be ready to resume Middle East peacemaking shelved since 2000.,0
2620,2620,2,0,"Japan Approves Visa for Ex-Taiwan Leader Japan has decided to issue a visa for former Taiwanese President Lee Teng-hui to visit this year, a government spokesman said Thursday, a decision that could exacerbate tense relations with China.",0
2646,2646,2,3,Haiti floods spark disease fears There are warnings of a serious outbreak of disease in Haiti following the recent devastating floods.,0
2656,2656,3,2,"Carrot offered on nukes, but Iran to say stick it BRITAIN, France and Germany have presented Iran with a package of economic and political incentives as part of a last-ditch attempt to persuade Tehran to abandon its nuclear enrichment program.",0
2662,2662,0,3,"Annan says Darfur peace deal possible by year-end A quick peace deal for Sudan #39;s western Darfur region may be possible after a separate agreement was reached between Khartoum and southern Sudanese rebels, UN Secretary-General Kofi Annan has said.",0
2692,2692,3,2,"Bomb at Pakistan Shiite Mosque Kills Four  - A suicide bombing at a Shiite mosque Sunday in this eastern city killed four people, including two security guards who lost their lives confronting the attacker and preventing a far greater number of deaths.",0
2698,2698,0,3,"Venezuelan Car-Bomb Suspect Killed, Weapons Found  CARACAS, Venezuela (Reuters) - A Venezuelan lawyer  suspected in last week's bombing murder of a top state  prosecutor was killed in a gunfight with police on Tuesday  after he tried to ram detectives with his car and opened fire  on them, officials said.",0
2706,2706,2,3,"Taiwan opposition demands evidence on Chen's ""soft coup"" allegations  - Taiwan opposition leaders have demanded President Chen Shui-bian provide evidence for his repeated allegations that military generals had plotted a ""soft coup"" in collaboration with rival China to cripple his government.",0
2714,2714,0,2,"Kerry Aide Talked to Retired Guard Officer  - At the behest of CBS, an adviser to John Kerry said he talked to a central figure in the controversy over President Bush's National Guard service shortly before disputed documents were released.",0
2733,2733,3,2,"Liberals face one-year election anniversary dogged by ""promise breakers"" label (Canadian Press) Canadian Press - TORONTO (CP) - A year ago Liberal Leader Dalton McGuinty solemnly pledged to Ontarians in prime-time TV election ads that he would make Ontario a better place - without raising taxes.",0
2735,2735,0,1,"U.S. Bomb Insurgent Stronghold of Fallujah  - U.S. warplanes and artillery units bombed the Sunni insurgent stronghold of Fallujah on Monday, killing at least nine people and wounding 12, hospital officials and witnesses said.",0
2754,2754,3,2,Agreement Reached for Resolution on Iran's Nuclear Program U.S. and European negotiators agreed on a draft resolution meant to deprive Iran of technology used to make nuclear weapons.,0
2775,2775,0,3,Iran says ban on its uranium enrichment program  #39;illegal #39; Iran said Sunday that demands from the UN atomic watchdog agency that it freeze all work on uranium enrichment -echnology that can be used for nuclear weapons  -e  illegal.,0
2782,2782,2,0,Sahara tourists face theft charge Five Germans thought to be missing in the Sahara are safe but face charges for the alleged theft of artefacts.,0
2786,2786,3,0,Crews Search for Asia Typhoon Victims  - Bulldozers and rescue crews on Friday scraped away at the dirt and boulders that officials said buried as many as 15 people in a northern Taiwanese village ravaged by Typhoon Aere before it spun toward China.,0
2790,2790,0,1,"China Plans Renovation of Forbidden City  - China plans to tear down a museum to restore the original appearance of its imperial palace in a sweeping renovation of the Forbidden City that will last until 2020, officials said on Thursday.",0
2791,2791,2,3,"Don't slit your wrists over election, Michael Moore urges Democrats  - Outspoken US filmmaker Michael Moore urged despondent Democrats not to  slit their wrists  over the outcome of the US election that gave President George W. Bush another four-year term.",0
2799,2799,0,2,"Plans Under Way for Exiled Iraqis to Vote -IOM  AMMAN (Reuters) - Logistical preparations are under way to  allow at least a million exiled Iraqis to cast their votes in  the country's first free elections next month, a senior  organizer said on Thursday.",0
2805,2805,3,0,"UN: N.Korea Sends Positive Message on Atomic Talks The South Korean Unification Ministry said Nov. 24, 2004, that North Korea gave a visiting UN official a  #39;very positive message #39; about resuming stalled six-way talks on its nuclear programs.",0
2814,2814,3,2,"Typhoon Songda Batters Southern Japan  TOKYO (Reuters) - High winds and heavy rain lashed Japan's  southernmost prefecture of Okinawa on Sunday, swamping  buildings and stranding holidaymakers, as the third powerful  typhoon in three weeks neared the country's coast.",0
2818,2818,2,3,"1 Palestinian killed in new Israeli air strike in Gaza A 28-year-old Palestinian was killed and three were wounded Sunday morning in an new Israeli airstrike in the Jabalya refugee camp, in the northern Gaza Strip, the Ha #39;aretz daily reported on Sunday.",0
2826,2826,0,2,"PM wouldn #39;t like to see rising dollar PRIME Minister John Howard hopes the Australian dollar does not keep on rising because it would make us less competitive. Mr Howard said although he wouldn #39;t say Australia was heading for tough times, there ",0
2831,2831,0,1,"Zeta 'stalker kept signed book' A woman accused of stalking Catherine Zeta Jones owned a book signed by the actress, a court hears.",0
2846,2846,0,1,French hospital denies reports PARIS - A hospital official in France on Thursday denied reports that Yasser Arafat had died as the result of an undisclosed illness.,0
2861,2861,0,2,"Israeli Aircraft Attacks Militant's House  - An Israeli aircraft fired a missile Monday at a house in the southern Gaza town of Rafah, wounding five people, including a top Islamic Jihad leader, witnesses and hospital officials said.",0
2863,2863,0,2,"African Union Urges Sudan, Rebels Overcome Impasse  ADDIS ABABA, Ethiopia (Reuters) - The African Union urged  Sudan's government and Darfur rebels to remain engaged in peace  talks Monday, after negotiations foundered over what the U.N.  has called the world's worst humanitarian crisis.",0
2866,2866,0,3,"Report: Islamic Group Says Behind Jakarta Bomb The Jemaah Islamiah group said in a purported Internet statement it carried out Thursday #39;s attack on the Australian embassy in Jakarta, and warned of more unless Australia withdraws forces from Iraq.",0
2872,2872,0,2,"Geneva Conventions Protect Wounded in War  - Protection of wounded combatants is a basic rule in the universally accepted treaty on warfare applying to the U.S. investigation of the videotaped fatal shooting of a wounded and apparently unarmed Iraqi combatant, international legal experts said Tuesday. But there is debate on whether self-defense could apply.",0
2873,2873,0,2,UN agency: Insurgents in Iraq may have missing explosives The UN nuclear agency has warned that insurgents in Iraq may have obtained nearly 400 tonnes of missing explosives that can be used in the kind of car bomb attacks that have targeted US-led coalition forces for months.,0
2896,2896,2,3,"Iran Nuclear Enrichment Freeze Offer a Ploy - U.S.  VIENNA (Reuters) - Iran said on Friday it might extend a  partial freeze on uranium enrichment in order to ease Western  fears about its nuclear ambitions, but a senior U.S. official  dismissed this as a ploy to fend off tough U.N. action.",0
2903,2903,2,0,"U.S. Assault Weapons Ban Set to Expire  - Ten years after it was born out of the carnage of three California mass shootings, the federal assault weapons ban is fading out of existence Monday.",0
2916,2916,3,2,"Six Flags Unveils Fastest Roller Coaster JACKSON, N.J. - Six Flags Great Adventure is opening the world's tallest and fastest roller coaster this spring - a thrill ride that accelerates to 128 mph in 3.5 seconds and rises 456 feet off the ground...",0
2921,2921,2,3,"UN Envoy Begins Final Mission to Darfur, Sudan Before Security ... The senior United Nations envoy to Sudan today began his last mission to the war-torn Darfur region ahead of next week #39;s meeting of the Security Council, which will decide whether the Government is making good on commitments to restore security and disarm ",0
2932,2932,2,3,Report finds European bird species face extinction A new report has found that more than 40 per cent of all European bird species are threatened and may disappear soon due to intensive agriculture and climate change.,0
2933,2933,0,2,"Iran Will Likely Freeze Nuke Enrichment-Official A senior Iranian official said on Thursday he was optimistic Iran would halt its uranium enrichment program as Europe demands, in a move aimed ",0
2945,2945,2,0,"Sudan dismisses UN Security Council ultimatum on Darfur  - Sudan will ignore a UN Security Council deadline to end militia attacks in Darfur by the end of the month and instead resolve the crisis through African Union peace talks, Khartoum's chief negotiator said.",0
2950,2950,1,0,"Courtney Love Sued by LA Travel Agency SANTA MONICA, Calif. - Rocker Courtney Love was sued Thursday by a travel agency that claims she ordered nearly \$50,000 in airline tickets, but wouldn't pay...",0
2951,2951,2,0,"Muslim Efforts To Release British Hostage Yield Results This week, a delegation of British Muslims returned from a high profile effort to secure the release of a British hostage, civilian Kenneth Bigley, held in Iraq since September 16th.",0
2957,2957,0,2,"Yemeni court convicts 15 SAN #39;A, Yemen - A chaotic three-month trial ended yesterday with 15 militants convicted for roles in terror attacks on a French oil tanker and a helicopter carrying US oil workers.",0
2958,2958,1,3,Don't stand for racism - football chief Fifa boss Sepp Blatter says he would have backed England's players if they had walked off against Spain.,0
2961,2961,3,2,"US launches new raids on Falluja US air strikes on the rebellious Iraqi city of Falluja kill at least seven people, hospital officials say.",0
2971,2971,0,2,"Another Winter of Discontent Demanding full labor rights, unionized public workers went on a general strike for the first time in the nations history on Monday.",0
2993,2993,3,2,S.Korea and Japan Keep Up Summit Shuttle on North  SEOUL (Reuters) - South Korean President Roh Moo-hyun was  leaving for a two-day official visit to Japan on Friday for  summit talks that will focus on the North Korean nuclear  problem and Japan's deteriorating ties with the communist  state.,0
3020,3020,3,0,"S.Korea FM: No Optimism on Nuclear Talks with North  SEOUL (Reuters) - South Korea is working with its  diplomatic partners to try to hold nuclear talks with North  Korea this month, but recent North Korean comments suggested no  grounds for optimism, the South's foreign minister said on  Friday. There are plans to hold a fourth round of nuclear  negotiations among the two Koreas, the United States, China,  Japan and Russia by the end of September as the countries  agreed at the previous session in June.",0
3027,3027,0,1,Putin says international terror at work in Russia  - Russian President Vladimir Putin said in a televised address that the hostage-taking at a school in southern Russia showed that international terrorism was at work in the country.,0
3039,3039,3,2,MI6 agents drafted in to improve Gaza security MI6 agents and British police are setting up a high-tech control centre for Palestinian security services in the Gaza Strip to help them maintain control in the volatile territory after the death of Yasser Arafat.,0
3048,3048,3,2,"A Look at U.S. Military Deaths in Iraq  - As of Tuesday, Aug. 17, 943 U.S. service members have died since the beginning of military operations in Iraq in March 2003, according to the Defense Department. Of those, 703 died as a result of hostile action and 240 died of non-hostile causes.",0
3054,3054,3,2,An Afghan  #39;hanging chad #39; dispute An independent inquiry is helping to defuse a controversy over ink used in Saturday #39;s election. By Scott Baldauf  Staff writer of The Christian Science Monitor.,0
3075,3075,0,2,"Arafat to Be Buried at His West Bank HQ  - Yasser Arafat will be buried at the battered West Bank headquarters that had been his virtual prison for the last three years, his aides decided after the Palestinian leader sank deeper into a coma.",0
3085,3085,3,0,"Woman rescues fellow camper from crocodile #39;s jaws A 60-year-old woman jumped on to the back of a crocodile yesterday, tackling it to free a man trapped in its jaws. The four-metre (13ft) crocodile grabbed the 34-year-old man as he slept in a tent with his ",0
3087,3087,0,2,"Republicans, Democrats court key Jewish votes  - Traditionally staunch Democratic supporters, Jewish voters are thought to be  in play  for November's US presidential election, with the potential to swing several key battleground states.",0
3102,3102,0,2,"Britain Proposes Debt Relief to Nations Britain will provide more debt relief for the world #39;s poorest countries and challenge other rich countries to do the same, Prime Minister Tony Blair #39;s government said Sunday.",0
3105,3105,3,0,"Richemont Sparkle Lifts European Stocks  - Sparkling sales from luxury goods giant\Richemont helped lift European shares on Thursday, quelling\concerns about advertising firm Havas' plans to issue more\shares and the drag effect of a weaker Wall Street..",0
3115,3115,3,2,Typhoon Nock-ten batters Taiwan Taiwan and offshore Penghu County have geared up for strong winds and heavy rains as Typhoon Nock-ten is scheduled to encompass the whole island and outlying islands this morning.,0
3129,3129,0,3,No decision by Musharraf on keeping both posts: US Washington: The United States has said Pakistani leader Pervez Musharraf has not taken any decision on keeping both posts of Army Chief and the President and it expected continued democratic reforms in the country.,0
3133,3133,0,1,"Li: China willing to deepen ties with Turkmenistan A senior official of the Communist Party of China (CPC) said here Monday that China attaches great importance to developing its relations with Turkmenistan and will,as always ",0
3136,3136,0,1,"As US Advances in Falluja, New Fighting Erupts in Northern Iraq Insurgents opened a new front against American-led forces today, attacking several police stations in the northern city of Mosul and pushing that city to the brink of chaos ",0
3142,3142,2,3,"Iraq Cleric Agrees to End Uprising, Demands Truce  NAJAF, Iraq (Reuters) - A radical Iraqi cleric leading a  Shi'ite uprising agreed Wednesday to disarm his militia and  leave one of the country's holiest Islamic shrines, but only  after a truce with encircling U.S. Marines.",0
3210,3210,3,0,Israeli PM loses key budget vote Israeli Prime Minister Ariel Sharon's government could fall after his budget is vetoed by parliament.,0
3229,3229,0,2,"Berlusconi proved to have bribed judge but avoids prison Silvio Berlusconi, the Houdini of European politics, escaped jail last night on charges of bribing Roman judges. At the end of the Prime Minister #39;s trial in Milan, judges cleared him ",0
3236,3236,0,1,"Afghan leader escapes attack rocket exploded near a helicopter carrying President Hamid Karzai yesterday, forcing him to abandon his trip and raising questions about how difficult it will be for him ",0
3237,3237,0,2,"UN Rights Officials Talks of War Crimes in Darfur  UNITED NATIONS (Reuters) - U.N. envoys told the Security  Council on Thursday that war crimes had probably occurred on ""a  large and systematic scale"" in Sudan's Darfur region and called  for foreign police to help stop abuses.",0
3253,3253,0,1,"Schroder reaffirms support for Turkeys bid The European Commission is expected later this week to recommend EU membership talks with Turkey. Meanwhile, German Chancellor Gerhard Schroeder and Turkish Prime Minister Tayyip Erdogan are anticipating a  positive report.",0
3256,3256,0,2,"Two Iraqi Ministers Survive Attacks 24 August 2004 -- Iraq #39;s environment and education ministers were both unharmed in two separate attacks on their respective convoys in Baghdad today, as fighting continues in the holy city of Al-Najaf.",0
3266,3266,3,2,"Ethics Panel Admonishes House Leader DeLay  - An ethics panel admonished U.S.\House of Representatives Majority Leader Tom DeLay on Thursday,\saying he improperly offered to endorse a lawmaker's son in\return for a vote on a Medicare prescription drug bill.",0
3271,3271,2,3,"Baghdad Blasts in Green Zone Kill 8 Civilians, Military Says Eight civilians were killed and at least three were wounded in two blasts in Baghdad #39;s fortified Green Zone, which houses government offices, Lieutenant Colonel James Hutton, a US military ",0
3296,3296,1,3,Yudhoyono makes the cut in Sulawesi Some 300 people have shaved their heads in Indonesia #39;s Central Sulawesi province to celebrate the victory of former general Susilo Bambang Yudhoyono in this week #39;s presidential election.,0
3298,3298,3,1,Canadian Dollar Jumps to 12-Year High; Job Gains Above Forecast Canada #39;s dollar surged past 83 US cents to a new 12-year high as a higher-than-forecast jobs report added to speculation the central bank needs to keep lifting its target interest rate.,0
3316,3316,2,3,9/11: NY port authority sues Saudi Arabia The New York port authority has decided to join a lawsuit charging Saudi Arabia with providing financial assistance to the Osama bin Laden-led Al Qaeda.,0
3329,3329,3,2,"Israeli Helicopter Fires Missile in Gaza -Witnesses  - An Israeli helicopter fired a missile into\a town in the southern Gaza Strip late on Wednesday, witnesses\said, hours after a Palestinian suicide bomber blew herself up\in Jerusalem, killing two Israeli border policemen.",0
3358,3358,1,0,"UK Verdict May Jeopardize Blair #39;s Terror Policies British Prime Minister Tony Blair #39;s security strategy, a central plank in his re-election bid, looked in trouble on Friday after a landmark legal ruling against a vital part of his anti-terror policy.",0
3360,3360,2,3,"Thai PM to Address Nation as More Bombs Rock South  PATTANI, Thailand (Reuters) - Bomb blasts rocked southern  Thailand Friday as Prime Minister Thaksin Shinawatra told  southern Muslim leaders the deaths of 85 protesters in military  custody should have never happened.",0
3361,3361,1,2,"For O.D.B., Fun Was Too Much or Not at All For hip-hop stars, there is nothing glamorous about being out of control. The late rapper burned hot in a world where stars are supposed to stay cool.",0
3363,3363,3,2,"Japan warns of prison crowding Japan's prisons are at their most crowded in years, a result of rising crime and longer sentences.",0
3371,3371,3,2,"Rescued whales head out to sea as scientists blame weather for ... HOBART, Australia : Rescuers succeeded in saving most of the whales still stranded on beaches in Australia and New Zealand as scientists pinpointed cyclical weather patterns as a likely cause of increased beachings.",0
3385,3385,2,3,"The Forest Brigand and Me Dr Rajkumar who spent around 118 days in captivity with Veerappan, had said in a press conference soon after his release that there was a human being within the bandit.",0
3402,3402,0,1,"US troops on offensive in Iraq US troops went on the offensive overnight against insurgent strongholds west of Baghdad, pounding militant positions from the air and supporting Iraqi soldiers in raids on mosques suspected of harbouring extremists.",0
3407,3407,0,1,"Ba #39;asyir transferred to Cipinang, formal charges expected in days Investigators submitted the case file on cleric Abu Bakar Ba #39;asyir to prosecutors on Wednesday, paving the way for his trial on charges of involvement in a string of terrorist attacks across the country.",0
3440,3440,3,0,"UN Panel Begins Probe of Genocide Claims in Sudan A United Nations team has arrived in Sudan to study if genocide has occurred in the western Darfur region, where fighting has displaced more than 1.5 million people.",0
3450,3450,2,3,"Karzai leading polls with over 1/3 votes counted Afghan interim President Hamid Karzai has been keeping on leading the ballot counting as he garnered 62.6 percent of the votes counted till Wednesday noon, Afghan election website said.",0
3453,3453,2,3,"S.C. Residents Brace for Gaston CHARLESTON, S.C. - Rain doused the South Carolina coast early Sunday as Tropical Storm Gaston, just under hurricane strength, picked up speed and pushed ashore...",0
